ISO code,Country,Variable code,Variable name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CHL,Chile,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.7402708530426,2.75564479827881,2.77110481262207,2.7866518497467,2.80529260635376,2.82405781745911,2.84294891357422,2.8619658946991,2.88111042976379,2.90038323402405,2.91978454589844,2.93931579589844,2.95897746086121,2.97877097129822,2.9968798160553,3.01509833335876,3.03342795372009,3.05186891555786,3.07042193412781,3.08908796310425,3.10786700248718,3.12676072120667,3.14576888084412,3.16489291191101,3.18922209739685,3.21398735046387,3.23919916152954
CHN,China,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.20661544799805,2.24169540405273,2.27733302116394,2.31353735923767,2.32968354225159,2.34594249725342,2.36231517791748,2.37880182266235,2.39540362358093,2.40445852279663,2.41354775428772,2.4226713180542,2.43182945251465,2.44102191925049,2.47546982765198,2.51040363311768,2.54583048820496,2.57462215423584,2.59902787208557,2.62366509437561,2.64853596687317,2.67364239692688,2.69898700714111,2.7245717048645,2.73290514945984,2.74130630493164,2.74977564811707
CIV,Côte d'Ivoire,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.38016951084137,1.39567184448242,1.41134834289551,1.42720079421997,1.43718838691711,1.44724583625793,1.45737361907959,1.46757233142853,1.47784245014191,1.4881843328476,1.49859869480133,1.50908589363098,1.51964640617371,1.53028094768524,1.54781758785248,1.56555509567261,1.58349585533142,1.601642370224,1.61999678611755,1.63856148719788,1.65733885765076,1.67633152008057,1.6955418586731,1.71353816986084,1.71744728088379,1.73017752170563,1.7432347536087
CMR,Cameroon,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.6767795085907,1.70033299922943,1.72049605846405,1.73868060112,1.75137519836426,1.7641624212265,1.77704298496246,1.79001760482788,1.80308699607849,1.81625187397003,1.82951271533966,1.84287047386169,1.85632574558258,1.86987924575806,1.87274312973022,1.8756115436554,1.87848424911499,1.8813613653183,1.88424289226532,1.88712894916534,1.89001929759979,1.89291405677795,1.89581322669983,1.89871692657471,1.91430938243866,1.93028342723846,1.94665050506592
COD,D.R. of the Congo,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.50841009616852,1.52318060398102,1.53809583187103,1.55315709114075,1.56119608879089,1.56927669048309,1.57739913463593,1.58556365966797,1.5937705039978,1.59951412677765,1.60527849197388,1.61106359958649,1.61686956882477,1.62269639968872,1.63658380508423,1.65058994293213,1.66471600532532,1.70311319828033,1.73415064811707,1.76421427726746,1.78063941001892,1.79721748828888,1.80343377590179,1.80971920490265,1.81607437133789,1.8225005865097,1.82899856567383
COG,Congo,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",1.9315459728241,1.94659829139709,1.9617680311203,1.97705602645874,1.98404741287231,1.99106359481812,1.99810445308685,2.0051703453064,2.01226115226746,2.0145583152771,2.01685833930969,2.01916074752808,2.02146577835083,2.02377367019653,2.04913234710693,2.07480883598328,2.10080718994141,2.12713122367859,2.15378499031067,2.15652751922607,2.15927910804749,2.1620397567749,2.16480922698975,2.16758799552918,2.17037606239319,2.17317295074463,2.17597937583923
COL,Colombia,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.0872631072998,2.11220407485962,2.13744306564331,2.16298365592957,2.18431115150452,2.20584893226624,2.22759914398193,2.24956393241882,2.27174520492554,2.29414510726929,2.31676602363586,2.3396098613739,2.36267900466919,2.38597559928894,2.41068816184998,2.43565678596497,2.46088433265686,2.48637270927429,2.51212525367737,2.53814482688904,2.5629780292511,2.58082032203674,2.59878706932068,2.61687898635864,2.63825917243958,2.6601254940033,2.68249130249023
CRI,Costa Rica,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.38212728500366,2.39605975151062,2.41007351875305,2.42416906356812,2.44833302497864,2.47273755073547,2.49738550186157,2.52227926254272,2.54742097854614,2.5419225692749,2.53643584251404,2.53096103668213,2.52549815177918,2.5200469493866,2.54592204093933,2.56810927391052,2.5858325958252,2.60367846488953,2.62164735794067,2.63974022865295,2.65795803070068,2.67630171775818,2.6947717666626,2.71336936950684,2.70895266532898,2.70455527305603,2.70017671585083
CYP,Cyprus,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",2.47439980506897,2.49943327903748,2.52471995353699,2.55026268959045,2.5698447227478,2.58636069297791,2.60298323631287,2.61971235275269,2.63654899597168,2.65349388122559,2.67054772377014,2.68771100044251,2.70498490333557,2.72236943244934,2.74201726913452,2.76180696487427,2.7817394733429,2.80181574821472,2.82203698158264,2.84240436553955,2.86291837692261,2.88358068466187,2.90439200401306,2.92535352706909,2.94772386550903,2.97051954269409,2.99375128746033
CZE,Czechia,hc,"Human capital index, based on years of schooling and returns to education; see Human capital in PWT9.",3.45362114906311,3.49318885803223,3.53320980072022,3.57368922233582,3.58205246925354,3.59043526649475,3.59883761405945,3.60725975036621,3.61570143699646,3.61983227729797,3.62396788597107,3.62810850143433,3.63225340843201,3.63640332221985,3.65747833251953,3.67071223258972,3.69198608398438,3.70266890525818,3.71070146560669,3.72951197624207,3.74300670623779,3.75383734703064,3.76469922065735,3.76918435096741,3.77368021011353,3.77818751335144,3.78270554542542
